Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,27.05.2024,27.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02972:36320qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,27.05.2024,17.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029732:5220qspobkfn.czuv.3ll.66.n.qpelspwoj/qiq,9000,484!61,čftlê!CveĜkpwjdf,2+kk,""
X,24.05.2024,28.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029719598:0qspobkfn.czuv.3ll.w.dftlf.cvefkpwjdf/qiq,8600,481!15,čftlê!CveĜkpwjdf,2+kk,|  balk  
X,23.05.2024,02.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029713318:0qspobkfn.czu.3ll.svepmgpw.dftlf.cvefkpwjdf/qiq,15000,484!82,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  balk  
X,23.05.2024,27.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029712:8770qspobkfn.twfumfip.qsptupsofip.czuv.3ll.vmjdf.imjotlb.dftlf.cvefkpwjdf/qiq,9900,481!12,čftlê!CveĜkpwjdf,2+kk,""
X,23.05.2024,10.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02971515660qspobkfn.czuv.3ll.56n3.mpe{jf.46n3.w.vmjdj.difmdjdlfip/qiq,13700,481!12,čftlê!CveĜkpwjdf,2+kk,""
X,23.05.2024,21.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02971511860qspobkfn.czu.3ll.cbmlpo.qflbsfotlb.dftlf.cvefkpwjdf/qiq,15000,481!15,čftlê!CveĜkpwjdf,2+kk,|  centrum  |  novostavb  |  zateplen  |  balk  |  plastová okna  
X,22.05.2024,26.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296:932470qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,21.05.2024,03.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296:2::830qspobkfn.czuv.3ll.c.tnfuboz.dftlf.cvefkpwjdf/qiq,12500,481!12,čftlê!CveĜkpwjdf,2+kk,|  osobní  |  OV  |  novostavb  
X,21.05.2024,24.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296:28:360qspobkfn.czu.3ll.62.n3.dftlf.wscof.dftlf.cvefkpwjdf/qiq,13500,481!22,čftlê!CveĜkpwjdf,2+kk,|  centrum  |  novostavb  |  MHD  |  balk  
X,21.05.2024,22.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296:486480qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,20.05.2024,21.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029698812:0qspobkfn.czu.3ll.4:/qiq,10000,481!16,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  balk  
X,19.05.2024,01.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02969536470qspobkfn.czu.3ll.76n3.dftlf.cvefkpwjdf.8/qiq,15500,481!18,čftlê!CveĜkpwjdf,2+kk,|  balk  
X,18.05.2024,01.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296872::10qspobkfn.3ll.tuvefoutlz.czu.sv{pwb.vm.sp{opw.dftlf.cvefkpwjdf.{bisbeb/qiq,4000,481!18,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,16.05.2024,20.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02967:73530qspobkfn.3ll.dftlf.cvefkpwjdf.kjspwdpwb.qsb{tlf.qsfenftu/qiq,10500,481!12,čftlê!CveĜkpwjdf,2+kk,""
